Title,Location,Salary,Job Type1,Job Type2,Job Type3,Job Description
Supervisor Cosmetics,Gujranwala,"Rs 40,000 a month",Full-time,,,"['A well Known FMCG Store needs Cosmetics supervisor for its Gujranwala Store.', 'Candidate must be Intermediate and having 2-3years of experience in cosmetics fields.', 'Market competitive salary+1 time food+residence for out siders.', 'Feel free to drop your Resume at the given email adress.', 'Job Type: Full-time', 'Pay: From Rs40,000.00 per month']"
Customer Services (Only Female),Gujranwala,"Rs 20,000 a month",Full-time,,,"['Job Type: Full-time', 'Pay: Up to Rs20,000.00 per month', 'Education:', 'Experience:']"
Helper,Gujranwala,"Rs 35,000 - Rs 40,000 a month",Full-time,,,"['A helper is a person who supports and assists in various tasks. Their duties may vary depending on the industry they work in. In general, however, a helper will typically be responsible for tasks such as cleaning, stocking, organizing, and preparing materials and equipment.', ' Accommodation & Mess', 'Matric/Inter', 'Job Type: Full-time', 'Pay: Rs35,000.00 - Rs40,000.00 per month', 'Education:']"
Middle School English Teacher,Gujranwala,"Rs 50,000 a month",Full-time,,,"[""LACAS School Network is seeking a motivated and passionate Middle School English Teacher to join our dedicated educational team. The ideal candidate will have a strong background in English literature and language, as well as a commitment to fostering a love for reading and writing in students. As a Middle School English Teacher, you will play a vital role in developing students' literacy skills and preparing them for academic success."", '· Plan, prepare, and deliver engaging English lessons that align with the school curriculum and standards.', '· Use a variety of teaching methods to cater to different learning styles and abilities.', ""· Develop and implement creative activities and assignments to enhance students' reading, writing, and critical thinking skills."", ""· Assess students' skills through formal and informal assessments."", '· Track and report on student progress, providing regular feedback to students and parents.', '· Identify and support students who require additional help or enrichment.', '· Create a positive and inclusive classroom environment conducive to learning.', '· Establish and maintain clear rules and procedures for classroom behavior.', '· Foster a supportive and encouraging atmosphere to motivate students.', '· Work collaboratively with colleagues to plan and coordinate lessons and activities.', '· Participate in staff meetings, professional development sessions, and school events.', '· Stay current with educational research and best practices in English teaching.', '· Communicate regularly with parents about their child’s progress and any concerns.', '· Encourage parental involvement in their child’s literacy development.', '· Bachelor’s degree in English, Education, or a related field.', '· Valid teaching certification.', '· Previous experience teaching English at the middle school level is preferred.', '· Experience with diverse learning needs and classroom settings.', '· Strong understanding of English literature and language.', '· Excellent communication and interpersonal skills.', '· Ability to create engaging and effective lesson plans.', '· Proficient in using technology to enhance teaching and learning.', 'Job Type: Full-time', 'Pay: From Rs50,000.00 per month']"
Front Desk Officer,Gujranwala,"Rs 20,000 - Rs 30,000 a month",Full-time,,,"['Job Type: Full-time', 'Pay: Rs20,000.00 - Rs30,000.00 per month', 'Application Question(s):', 'Experience:']"
Social Media Specialist,Gujranwala,"Rs 25,000 - Rs 50,000 a month",Full-time,,,"['Job Summary:', 'We are seeking a talented Social Media Specialist to join our team. The ideal candidate will be responsible for managing and enhancing our social media presence, driving engagement, and increasing brand awareness across various platforms.', 'Duties: -', 'SEO (Search Engine Optimization)', 'Audit: Comprehensive website analysis.', 'On-page SEO: Optimize titles, descriptions, headers, URLs, images, and content.', 'Technical SEO: Improve speed, mobile usability, sitemap, robots.txt, structured data.', 'Off-page SEO: Link building, guest posts, social bookmarking. Monthly Reporting: Performance and keyword ranking reports. Backlink Building High-quality backlinks. Outreach and guest posting.', 'Performance tracking. Content Creation Blog Posts: 3 per Week. Social Media Posts: 12 per month (Facebook, Instagram, Twitter, LinkedIn).', 'Develop and implement social media strategies to achieve marketing goals - Create engaging content for social media platforms -', 'Monitor and analyse social media performance metrics - Collaborate with the marketing team to coordinate campaigns -', 'Stay up-to-date with the latest social media trends and best practices -', ""Manage social media accounts and respond to followers' queries Requirements: -"", 'Proficiency in JavaScript, CSS, HTML5 - Experience with Google Tag Manager, Google Analytics, WordPress - Knowledge of metadata and SEO best practices -', 'Familiarity with content management systems (CMS) - Strong understanding of social media management -', 'Excellent communication skills and attention to detail If you are passionate about social media and have the skills to drive online engagement, we would love to hear from you. Join us in our exciting journey of expanding our digital presence!', 'Job Type: Full-time', 'Pay: Rs25,000.00 - Rs50,000.00 per month']"
Stock Receiver,Gujranwala,"Rs 35,000 a month",Full-time,,,"['Must be Graduate and having 1-2years of relevant experience.', 'Receiving of stock and making necessary documentation for smooth process.', 'Job Type: Full-time', 'Pay: From Rs35,000.00 per month', 'Ability to commute/relocate:']"
Assistant Branch Manager - Gujranwala,Gujranwala,"Rs 45,000 - Rs 55,000 a month",Full-time,,,"["" Bachelor's degree in Business Administration or related field (preferred)"", ' Minimum of 2 years of experience in retail management, preferably in the fashion industry', 'Job Type: Full-time', 'Pay: Rs45,000.00 - Rs55,000.00 per month']"
Office Associate,Gujranwala,"Rs 30,000 a month",Full-time,Internship,New-Grad,"['This is a full-time on-site role for an Office Associate. The Office Associate will be responsible for performing administrative and office support activities, including handling communication with clients, providing customer service, assisting with accounting tasks, and managing general office administration duties. The role is located in Gujranwala.', 'Job Types: Full-time, Internship, Fresher', 'Contract length: 6 months', 'Pay: From Rs30,000.00 per month']"
Counselor,Gujranwala,"Rs 30,000 - Rs 35,000 a month",Full-time,,,"[""A One Educational Consultant is a leading company in the foreign education sector, with offices in Lahore, Multan, Gujranwala, Chiniot, and London. They are the official representatives of world's leading universities in the UK, USA, Canada, Australia, and Europe. The company aims to provide students with a gateway to fulfill their dreams by offering training sessions and helping them develop the skills needed for success in international settings. A One Consultant is dedicated to making a positive impact on students' lives and helping them achieve their goals."", 'Role Description', ""This is a full-time on-site role as a Counselor at A One Educational Consultant in Gujranwala. As a Counselor, you will be responsible for providing guidance and assistance to students seeking education abroad. Your day-to-day tasks will include advising students on university choices, assisting with the application process, conducting interviews, and organizing training sessions to enhance students' adaptability and professional skills."", 'Qualifications', 'Excellent interpersonal and communication skills', 'Strong organizational and time management abilities', 'Knowledge of universities and educational systems', 'Experience in counseling or mentoring', 'Ability to adapt to new surroundings and cultures', 'Proficiency in MS Office and database management', 'Fluency in English (written and spoken)', 'Experience in the education or consulting industry is a plus', ""Bachelor's degree in Education, Psychology, or a related field"", 'Must experience relevant field.', 'Job Type: Full-time', 'Pay: Rs30,000.00 - Rs35,000.00 per month']"
Executive Quality Assurance,Gujranwala,"Rs 53,000 - Rs 85,000 a month",Full-time,,,"['PTCL Required E', 'Plan, implement, report and keep follow up of Technical audit/Evaluation of all NEs of PTCL Network aimed at assessing Quality of Service of each NE.', '· Conduct inspection of ongoing development works in the field of Access Network (Copper & Fiber) to ensure their implementation as per PTCL standards.', '· Ensure every addition in each existing network element or entirely new system is tested in accordance with the approved PAT documents and prescribed procedures.', '· Prepare checklists and works for their continual improvement for use in technical audit through preventive maintenance and routine inspection of different NEs of PTCL network.', '· Schedule, implement, reports and keep follow up of Provisional Acceptance Testing (PAT) of Access Network (Copper) offered by Development wing.', 'Conduct Technical Evaluation of OSP (Access Network Copper) including Electrical testing of U/G cables, physical survey of OSP (MDF, Manholes, U/G cables, Cabinets, DPs, Loops)', 'Report preparation of Weekly/Monthly activities carried out by all zones of QA throughout PTCL.', 'Report generation and follow up for improvement of QOS of OSP.', 'Qualification: Gradution Compulsory', 'Experience: 2years in Relevent Field', 'Job Type: Full-time', 'Pay: Rs53,000.00 - Rs85,000.00 per month', 'Education:', 'Experience:']"
PTCL Sale man,Gujranwala,"Rs 30,000 - Rs 40,000 a month",Full-time,,,"['Job Type: Full-time', 'Pay: Rs30,000.00 - Rs40,000.00 per month']"
"Technical Team Lead, IgniteTech (Remote) - $100,000/year USD",Pakistan,,,,,[]
Front End Developer,Gujranwala,"Rs 25,000 - Rs 50,000 a month",Full-time,,,"['Job Summary:', 'REACT/ANGULAR (Apply if you have experience and projects)', 'We are seeking a talented Front End Developer to join our dynamic team. The ideal candidate will be responsible for creating visually appealing and user-friendly interfaces.', 'If you have a passion for web design and possess expertise in React, Angular and other relevant technologies, we want to hear from you.', 'Duties: - Develop and implement front-end architecture - Collaborate with back-end developers to improve usability', '- Create quality mockups and prototypes', '- Ensure high-quality graphic standards and brand consistency', '- Stay up-to-date on emerging technologies in the industry', '- Troubleshoot and debug applications', 'Qualifications: - Proficiency in React, Angular, UI, Web design, GitHub', '- Strong understanding of responsive design principles', '- Excellent problem-solving skills', '- Ability to work well in a team environment', '- Good understanding of SEO principles and ensuring that applications will adhere to them If you are a skilled Front End Developer with a passion for creating innovative and user-friendly interfaces, we invite you to apply for this exciting opportunity.', 'Job Type: Full-time', 'Pay: Rs25,000.00 - Rs50,000.00 per month', 'Expected Start Date: 01/07/2024']"
Ticketing Sales Executive,Gujranwala,"Rs 30,000 - Rs 50,000 a month",Full-time,,,"['Job Type: Full-time', 'Pay: Rs30,000.00 - Rs50,000.00 per month']"
Sales Officer all Pakistan,Gujranwala,"Rs 35,000 - Rs 50,000 a month",Contract,,,"['TML ACTIVATION SERVICES (PVT).', 'Is Looking For SALES OFFICER', 'For A Well-Known Company From Tobacco Sector.', '1- The sales Officer will commence work from the designated distribution or shared location.', '2- Sales Officer assigns market tasks to the DSRs based on their strengths, territories, and overall objectives and communicates objectives, expectations, and deadlines for each assigned task.', '3-Sales Officer will complete daily tasks on application.', '4-Daily target for Sales Officer shop visits, aiming to achieve at least 25 visits per day.', '5-After completing their fieldwork, Sales Officer returns to the depot, and promptly submit their daily routine work to the server. This ensures that comprehensive records are maintained.', 'Candidates Must Be Graduate and minimum one year of Experience in relevant or any sales Field Job.', 'Job Type: Contract', 'Contract length: 12 months', 'Pay: Rs35,000.00 - Rs50,000.00 per month']"
Fresh Graduates - Urgent Hiring New Staff for Gujranwala,Gujranwala,"Rs 50,000 - Rs 100,000 a month",Full-time,Contract,New-Grad,"['Full Job Description:', ' ', 'Job Types: Full-time, Contract, New-Grad', 'Contract length: 3 months', 'Pay: Rs50,000.00 - Rs100,000.00 per month', 'Application Deadline: 01/06/2024', 'Expected Start Date: 03/06/2024']"
Administration Executive,Gujranwala,"Rs 50,000 - Rs 60,000 a month",Full-time,,,"['Job Type: Full-time', 'Pay: Rs50,000.00 - Rs60,000.00 per month', 'Education:']"
Fresh Graduates - Urgent Hiring New Staff for Gujranwala CITY NEW BRANCH Office,Gujranwala,"Rs 50,000 - Rs 100,000 a month",Full-time,Contract,New-Grad,"['Full Job Description:', ' ', 'Job Types: Full-time, Contract, New-Grad', 'Contract length: 3 months', 'Pay: Rs50,000.00 - Rs100,000.00 per month', 'Application Deadline: 15/06/2024', 'Expected Start Date: 17/06/2024']"
Fresh Graduates - Urgent Hiring New Staff for Gujranwala NEW BRANCH Office,Gujranwala,"Rs 50,000 - Rs 100,000 a month",Full-time,Contract,New-Grad,"['Full Job Description:', ' ', 'Job Types: Full-time, Contract, New-Grad', 'Contract length: 3 months', 'Pay: Rs50,000.00 - Rs100,000.00 per month', 'Application Deadline: 15/06/2024', 'Expected Start Date: 17/06/2024']"
Fresh Graduates - Urgent Hiring New Staff for Gujranwala NEW Office,Gujranwala,"Rs 50,000 - Rs 100,000 a month",Full-time,Contract,New-Grad,"['Full Job Description:', ' ', 'Job Types: Full-time, Contract, New-Grad', 'Contract length: 3 months', 'Pay: Rs50,000.00 - Rs100,000.00 per month', 'Application Deadline: 15/06/2024', 'Expected Start Date: 17/06/2024']"
Front End Web-Designer,Gujranwala,"Rs 25,000 - Rs 40,000 a month",Full-time,,,"['Salary depends on the expertise. at least 2 years experience.', 'Job Type: Full-time', 'Pay: Rs25,000.00 - Rs40,000.00 per month', 'Expected Start Date: 01/05/2024']"
Human Resource Officer,Gujranwala,"Rs 25,000 - Rs 35,000 a month",Full-time,,,"['Job Type: Full-time', 'Pay: Rs25,000.00 - Rs35,000.00 per month', 'Education:', 'Experience:', 'Willingness to travel:']"
Fresh Graduates - Urgent Hiring New Staff for Gujranwala NEW Branch,Gujranwala,"Rs 50,000 - Rs 100,000 a month",Full-time,Contract,New-Grad,"['Full Job Description:', ' ', 'Job Types: Full-time, Contract, New-Grad', 'Contract length: 3 months', 'Pay: Rs50,000.00 - Rs100,000.00 per month', 'Application Deadline: 01/06/2024', 'Expected Start Date: 03/06/2024']"
Fresh Graduates - Urgent Hiring New Staff for Gujranwala Branch,Gujranwala,"Rs 50,000 - Rs 100,000 a month",Full-time,Contract,New-Grad,"['Full Job Description:', ' ', 'Job Types: Full-time, Contract, New-Grad', 'Contract length: 3 months', 'Pay: Rs50,000.00 - Rs100,000.00 per month', 'Application Deadline: 01/06/2024', 'Expected Start Date: 03/06/2024']"
"Machine Learning Researcher, Trilogy (Remote) - $60,000/year USD",Pakistan,,,,,[]
Back End Developer,Gujranwala,"Rs 40,000 - Rs 100,000 a month",Full-time,,,"[""We're on the hunt for passionate Laravel Developers to join our growing team in Garden Town, Gujranwala. If you thrive in a collaborative environment and enjoy crafting beautiful, functional web applications using Laravel, then this is the perfect opportunity for you!"", 'We offer a competitive salary and bonus, along with the chance to work on exciting projects with a talented team.', 'Ready to join? Submit your resume and a cover letter highlighting your relevant experience today!', 'Job Type: Full-time', 'Pay: Rs40,000.00 - Rs100,000.00 per month', 'Experience:', 'Location:']"
Accountant,Gujranwala,"Rs 25,000 - Rs 50,000 a month",Full-time,,,"['We are seeking a detail-oriented and experienced Accountant to join our dynamic team. The ideal candidate will be responsible for managing financial records, ensuring accuracy and compliance with regulations, and supporting the financial operations of our company. This role requires a strong understanding of accounting principles, experience in the renewable energy sector, and proficiency in financial software.', 'Key Responsibilities', 'Job Type: Full-time', 'Pay: Rs25,000.00 - Rs50,000.00 per month']"
Software Quality Assurance - FEMALE,Gujranwala,"Rs 25,000 - Rs 50,000 a month",Full-time,,,"['Please submit your resume through WhatsApp at +1 647 975 2074', 'We have an exciting opportunity th the flexibility to ', ' To apply, please submit your resume through WhatsApp at ', ""It is important that you carefully review all the details provided to understand the hiring process and save everyone's time. "", 'The work schedule for this position is from ', ' with a ', 'DINNER break from Monday to Saturday.', 'To be eligible for this role, a ', '.', 'Job Type: Full-time', 'Pay: Rs25,000.00 - Rs50,000.00 per month', 'Education:', 'Experience:']"
Sales Person,Gujranwala,"Rs 30,000 a month",Full-time,,,"['A leading software company in Gujranwala requires the services of Marketing Executive for Company having 1 Year experience in Business Development and at-least Graduation with excellent communication skills and command on spoken English.', '* Excellent interpersonal skills', '* Good planning and organization skills', '* Excellent communication and persuasion skills', '* Determined and enthusiastic', '* Ability to build relationships and make sales .', 'Job Type: Full-time', 'Pay: Rs30,000.00 per month']"
Academic Facilitator-Early Years,Gujranwala,"Rs 60,000 a month",Full-time,,,"['LACAS School Network is seeking a dedicated and dynamic Academic Facilitator for our Early Years program at the Gujranwala campus. The Academic Facilitator will be responsible for developing and implementing a high-quality, engaging, and developmentally appropriate educational program for young children. The ideal candidate will have a passion for early childhood education, excellent communication skills, and the ability to create a nurturing and stimulating learning environment.', '· Develop and implement a comprehensive curriculum that meets the developmental needs of young children.', '· Ensure that the curriculum is aligned with the educational standards and objectives of LACAS School Network.', '· Incorporate a variety of teaching methods, including play-based learning, to foster a love of learning in young children.', '· Create a safe, nurturing, and inclusive classroom environment that encourages positive social interactions and active learning.', '· Manage classroom behavior effectively using positive discipline strategies.', '· Maintain a well-organized and resource-rich classroom environment.', ""· Conduct regular assessments of students' developmental progress and learning outcomes."", ""· Maintain detailed records of each student's growth and development."", '· Use assessment data to inform and adjust instructional strategies.', '· Communicate regularly with parents and guardians about their child’s progress and any concerns.', '· Foster strong partnerships with families to support children’s learning and development.', '· Organize and participate in school events, workshops, and parent-teacher meetings.', '· Stay updated with the latest research and best practices in early childhood education.', '· Participate in professional development opportunities and training sessions provided by LACAS School Network.', '· Collaborate with colleagues to share resources, ideas, and strategies for effective teaching.', ""· Bachelor's degree in Early Childhood Education, Child Development, or a related field. A Master's degree or relevant certifications are a plus."", '· Minimum of 2-3 years of relavant experience in early childhood education or a related field.', '· Strong understanding of child development and early childhood education principles.', '· Excellent communication and interpersonal skills.', '· Ability to create a positive and engaging learning environment.', '· Proficiency in using educational technology and digital tools.', '· Strong organizational and time-management skills.', '· Ability to work collaboratively with a diverse team of educators, parents, and community members.', 'Job Type: Full-time', 'Pay: From Rs60,000.00 per month']"
Area Sales Manager,Gujranwala,"Rs 85,000 - Rs 105,000 a month",Full-time,New-Grad,,"['At Global Fertichem Ltd. we promote, support and devote in providing Solutions to farmers. Our in house designed, wide range of products uses the latest technology which helps in surgical eradication of any pests, fungi, rodents and diseases in all crops across the globe. We also keep in mind about our products environmental repercussions.', 'We are looking to employ a driven and experienced ', "" to increase sales within an assigned geographical area and guide a team of field sales representatives. The area sales manager's responsibilities include delivering presentations to potential and existing customers, evaluating the performance of the sales team, and preparing concise sales reports. You should also be able to develop as well as modify customer frequency plans as needed."", 'Job Types: Full-time, Fresher', 'Pay: Rs85,000.00 - Rs105,000.00 per month']"
